model,dataset,dataset_family,domain_auc,shift_bin,near_perfect_base,n_target_variants,n_harmful_excluded_using_other_datasets,n_variants_retained_with_relative_effect,mean_retained_pct,median_retained_pct,frac_retained_positive,profile_status,best_retained_variants
bag8,tschalzev_sctp,tschalzev_IID,0.495618525,DAUC < 0.55,False,140,67,73,-0.6256085508667568,0.0,0.0684931506849315,descriptive_correlated_variants_no_ci,adversarial_reweight_lgbm_cal_iso_ratio_winsorize:0.076199;ot_disp_v2_selective_abs:0.075400;adversarial_reweight_lgbm_ratio_winsorize_tempered:0.047465;adversarial_reweight_lgbm_raw_hard:0.035635;train_only_scaling:0.021986
bag8,website_phishing,TabArena_IID,0.4974870109756609,DAUC < 0.55,False,144,72,72,-5.3282235361541055,-0.8681614871128932,0.06944444444444445,descriptive_correlated_variants_no_ci,freq_ratio_v2_diff_gated:0.202134;groupby_shift_cohen_d__sel_combined_intersection:0.122316;joint_groupby_combined__sel_combined_intersection:0.122316;groupby_shift_cohen_d__sel_combined_union:0.030205;joint_groupby_combined__sel_combined_union:0.030205
bag8,wine_quality,TabArena_IID,0.4933509159780399,DAUC < 0.55,False,144,71,73,-2.8275794132838086,-0.3733807561291936,0.1232876712328767,descriptive_correlated_variants_no_ci,adversarial_reweight_lgbm_ratio_winsorize_tempered:6.878205;joint_tsne_2d_p50:6.207453;adversarial_reweight_lgbm_ratio_hard_tempered:5.039366;adversarial_reweight_lgbm_raw_hard:3.423165;joint_tsne_2d_p30:1.996280
tabicl,Amazon_employee_access,TabArena_IID,0.4973770565852067,DAUC < 0.55,False,135,88,47,-1.0729440969371857,3.373633511419674e-05,0.5106382978723404,descriptive_correlated_variants_no_ci,joint_freq_combined:9.611126;joint_freq_separate:9.608689;joint_freq_combined__sel_combined_union:8.883248;joint_freq_separate__sel_combined_intersection:8.085844;joint_freq_separate__sel_combined_union:8.054385
tabicl,Another-Dataset-on-used-Fiat-500,TabArena_IID,0.5250604059451488,DAUC < 0.55,False,126,88,38,-0.0844581509979658,0.07080911258596573,0.5789473684210527,descriptive_correlated_variants_no_ci,freq_ratio_log:0.430214;freq_ratio_v2_ratio_ungated:0.416340;joint_groupby_combined__sel_combined_intersection:0.356135;target_enc_ratio__sel_combined_intersection:0.356135;freq_ratio_log__sel_combined_intersection:0.356124
tabicl,Bank_Customer_Churn,TabArena_IID,0.4985240625,DAUC < 0.55,False,135,85,50,-0.8727310241808659,-0.3498390918665025,0.2,descriptive_correlated_variants_no_ci,target_enc_standard_m20:0.135173;target_enc_ratio:0.134367;target_enc_standard_m10:0.133780;target_enc_ratio_cap5:0.133780;target_enc_diff:0.133634
tabicl,E-CommereShippingData,TabArena_IID,0.500688337854552,DAUC < 0.55,False,135,85,50,-0.33761396709166147,-0.35356229470610867,0.32,descriptive_correlated_variants_no_ci,adversarial_lgbm_cal_iso_feature:0.659736;adversarial_lgbm_cal_iso_both_ratio:0.659553;joint_freq_separate:0.480594;leaf_density_conf_shallow:0.456831;target_enc_ratio__sel_combined_intersection:0.231064
tabicl,Fitness_Club,TabArena_IID,0.5044166666666666,DAUC < 0.55,False,135,85,50,0.007541183268354353,0.0127913391432028,0.58,descriptive_correlated_variants_no_ci,joint_freq_separate__sel_combined_union:0.395057;adversarial_lgbm_both_ratio:0.308702;adversarial_lgbm_feature:0.308702;pseudo_label_lgbm_conf95_iter3:0.281182;pseudo_label_v2_cal_iso_wprop_conf85:0.277644
tabicl,HR_Analytics_Job_Change_of_Data_Scientists,TabArena_IID,0.5006432616140332,DAUC < 0.55,False,135,86,49,0.04219076077852511,0.0946932476801974,0.5714285714285714,descriptive_correlated_variants_no_ci,joint_pca_10:0.588702;freq_ratio_v2_ratio_ungated:0.575325;joint_freq_combined:0.500840;freq_ratio_log:0.486909;freq_ratio_v2_diff_gated:0.399003
tabicl,Is-this-a-good-customer,TabArena_IID,0.5089344102652231,DAUC < 0.55,False,135,90,45,1.6096238135528766,2.4893618802002537,0.6666666666666666,descriptive_correlated_variants_no_ci,freq_ratio_log__sel_combined_union:5.710689;target_enc_ratio__sel_combined_union:4.881997;freq_ratio_log:4.253993;freq_ratio_v2_ratio_ungated:3.958672;adversarial_rf_feature:3.892255
