model,method_key,dataset,dataset_family,n_folds,positive_folds,tie_folds,negative_folds,all_folds_positive,all_folds_nonnegative,mixed_positive_negative
bag8,joint_freq_combined__sel_combined_intersection,bank-marketing,TabArena_IID,3,2,0,1,False,False,True
bag8,joint_freq_combined__sel_combined_intersection,bike_sharing,real_shift,1,0,1,0,False,True,False
bag8,joint_freq_combined__sel_combined_intersection,blood-transfusion-service-center,TabArena_IID,3,0,2,1,False,False,False
bag8,joint_freq_combined__sel_combined_intersection,brfss_diabetes,real_shift,1,1,0,0,False,True,False
bag8,joint_freq_combined__sel_combined_intersection,churn,TabArena_IID,3,0,1,2,False,False,False
bag8,joint_freq_combined__sel_combined_intersection,coil2000_insurance_policies,TabArena_IID,3,3,0,0,True,True,False
bag8,joint_freq_combined__sel_combined_intersection,concrete_compressive_strength,TabArena_IID,3,1,0,2,False,False,True
bag8,joint_freq_combined__sel_combined_intersection,credit-g,TabArena_IID,3,1,0,2,False,False,True
bag8,joint_freq_combined__sel_combined_intersection,credit_card_clients_default,TabArena_IID,3,2,1,0,False,True,False
bag8,joint_freq_combined__sel_combined_intersection,diabetes,TabArena_IID,3,1,1,1,False,False,True
bag8,joint_freq_combined__sel_combined_intersection,diabetes_hospital,real_shift,1,0,0,1,False,False,False
bag8,joint_freq_combined__sel_combined_intersection,diamonds,TabArena_IID,3,3,0,0,True,True,False
bag8,joint_freq_combined__sel_combined_intersection,folktables_coverage,Folktables,1,1,0,0,False,True,False
bag8,joint_freq_combined__sel_combined_intersection,folktables_coverage_covid,Folktables,1,1,0,0,False,True,False
bag8,joint_freq_combined__sel_combined_intersection,folktables_employment,Folktables,1,0,0,1,False,False,False
bag8,joint_freq_combined__sel_combined_intersection,folktables_income,Folktables,1,0,0,1,False,False,False
bag8,joint_freq_combined__sel_combined_intersection,folktables_mobility,Folktables,1,1,0,0,False,True,False
bag8,joint_freq_combined__sel_combined_intersection,folktables_travel_time,Folktables,1,1,0,0,False,True,False
bag8,joint_freq_combined__sel_combined_intersection,folktables_travel_time_covid,Folktables,1,1,0,0,False,True,False
bag8,joint_freq_combined__sel_combined_intersection,gas_sensor_drift,real_shift,1,0,0,1,False,False,False
bag8,joint_freq_combined__sel_combined_intersection,hazelnut-spread-contaminant-detection,TabArena_IID,3,2,0,1,False,False,True
bag8,joint_freq_combined__sel_combined_intersection,healthcare_insurance_expenses,TabArena_IID,3,0,3,0,False,True,False
bag8,joint_freq_combined__sel_combined_intersection,heloc,TabArena_IID,3,0,3,0,False,True,False
bag8,joint_freq_combined__sel_combined_intersection,hiva_agnostic,TabArena_IID,3,2,0,1,False,False,True
