model,method_key,method_role,n_datasets_ranked,model_roster_datasets,coverage_pct,mean_normalized_rank,median_normalized_rank,mean_raw_rank,rank_points_sum_observed,tied_best_datasets,unique_best_datasets,rank_status,mean_lift_pct,median_lift_pct,win_rate_decided,reliable_positive_strict
bag8,nearest_test_k10_filter_both,test_time_variant,92,92,100.0,0.6225676128194294,0.7105127068557919,88.33152173913044,8126.5,0,0,descriptive_coverage_normalized,-4.31043967448159,-0.7018810827293431,0.20930232558139536,False
bag8,ot_disp_v2_selective_and_summary_top10,test_time_variant,92,92,100.0,0.6292301184682776,0.762741046831956,88.98913043478261,8187.0,6,3,descriptive_coverage_normalized,-3.5469319865018107,-1.1867719361338478,0.2289156626506024,False
bag8,nearest_test_k5_both,test_time_variant,92,92,100.0,0.6297238419164416,0.7326388888888888,89.3913043478261,8224.0,0,0,descriptive_coverage_normalized,-4.454921660130513,-0.7314510321436003,0.23255813953488372,False
bag8,nearest_test_rel_k5_both,test_time_variant,92,92,100.0,0.640690449047285,0.7108100233100234,90.94565217391305,8367.0,2,2,descriptive_coverage_normalized,-4.792442617378888,-0.9260905612209425,0.18604651162790697,False
bag8,label_prop_v3_t005_k10,test_time_variant,92,92,100.0,0.6452252223682005,0.7174405749032615,91.3804347826087,8407.0,0,0,descriptive_coverage_normalized,-3.2078611706510056,-0.9630672356402893,0.23255813953488372,False
bag8,label_prop_v3_adaptive,test_time_variant,92,92,100.0,0.6505412676753931,0.7491258741258742,92.04347826086956,8468.0,2,2,descriptive_coverage_normalized,-2.8626154126723606,-1.2143849522872951,0.19767441860465115,False
bag8,nearest_test_k10_cumshift_both,test_time_variant,92,92,100.0,0.6516082667212464,0.7580342660178426,92.375,8498.5,0,0,descriptive_coverage_normalized,-4.045184216506493,-0.7423331709237213,0.1744186046511628,False
bag8,label_prop_weighted_k15_a05,test_time_variant,92,92,100.0,0.6579017685724212,0.7664233576642335,92.81521739130434,8539.0,1,1,descriptive_coverage_normalized,-4.517732179219446,-1.1135558582762775,0.23255813953488372,False
bag8,label_prop_weighted_k10_a05,test_time_variant,92,92,100.0,0.6649743448510889,0.7807908631772268,93.77173913043478,8627.0,0,0,descriptive_coverage_normalized,-4.344341625830828,-1.1538400008250895,0.20930232558139536,False
bag8,nearest_test_rel_k10_both,test_time_variant,92,92,100.0,0.6667021270371926,0.7429563492063492,94.48913043478261,8693.0,0,0,descriptive_coverage_normalized,-5.146320828160862,-1.0133693301581572,0.16279069767441862,False
