model,method_key,complete_five_levels,effect_shift_0_0_pct,effect_shift_0_5_pct,effect_shift_1_0_pct,effect_shift_3_0_pct,effect_shift_5_0_pct,shift5_minus_shift0_pct,endpoint_direction,strictly_increasing,strictly_decreasing,nondecreasing,nonincreasing,exceeds_baseline_at_every_level,exceeds_baseline_at_any_level,below_baseline_at_every_level
bag8,ot_displacement_no_mag,True,-0.534198125583735,-4.26087426650215,-2.1389427578268463,-2.254068335564468,-1.340192904008894,-0.805994778425159,smaller_benefit,False,False,False,False,False,False,True
bag8,pseudo_label_lgbm_conf80_iter5,True,-0.226365143834638,-0.7479991961935203,-1.3040150350741415,-5.939325760603243,-8.496233166185577,-8.26986802235094,smaller_benefit,False,True,False,True,False,False,True
bag8,pseudo_label_lgbm_conf90_iter1,True,0.0366834849868564,0.1464878577354229,-0.1427744310922435,-0.0974069172382855,-0.5609018943164261,-0.5975853793032825,smaller_benefit,False,False,False,False,False,True,False
bag8,pseudo_label_lgbm_conf90_iter3,True,0.129056337436991,-0.051760508677879,-0.1787129280874391,-4.591366808759399,-11.504876328368114,-11.633932665805105,smaller_benefit,False,True,False,True,False,True,False
bag8,pseudo_label_lgbm_conf95_iter3,True,-0.0597152036564102,-0.1574392316808765,-0.0524303810050935,-1.184993343887036,-10.167902122952173,-10.108186919295763,smaller_benefit,False,False,False,False,False,False,True
bag8,pseudo_label_v2_cal_iso_wfixed_conf90,True,-0.0084780338570027,0.0838899671083995,-0.1016892458543963,0.2808254420021185,-4.451701348351946,-4.443223314494944,smaller_benefit,False,False,False,False,False,True,False
bag8,pseudo_label_v2_cal_iso_wprop_conf85,True,-0.0818941993849309,0.0771237278900738,-0.397916883955662,-2.53857070643073,-8.90010914465541,-8.81821494527048,smaller_benefit,False,False,False,False,False,True,False
bag8,pseudo_label_v2_cal_iso_wprop_conf90,True,-0.045948647712546,-0.0317711978701931,-0.0996016655999828,-0.0560256186849078,-7.027358854868555,-6.981410207156009,smaller_benefit,False,False,False,False,False,False,True
bag8,pseudo_label_v2_cal_iso_wquad_conf90,True,-0.1833190338254968,0.1176560249167103,-0.1192730949203854,0.1242865351420172,-6.627599816459367,-6.44428078263387,smaller_benefit,False,False,False,False,False,True,False
bag8,pseudo_label_v2_cal_platt_wprop_conf90,True,0.0,0.0,0.0,0.0,0.0,0.0,unchanged,False,False,True,True,False,False,False
bag8,target_enc_absolute,True,0.208261179853731,0.1577812076702962,0.094703881156934,-0.1445096438949557,0.0852580859821545,-0.1230030938715765,smaller_benefit,False,False,False,False,False,True,False
bag8,target_enc_diff,True,0.208261179853731,0.1577812076702962,0.094703881156934,-0.1445096438949557,0.0852580859821545,-0.1230030938715765,smaller_benefit,False,False,False,False,False,True,False
bag8,target_enc_inv_ratio,True,0.208261179853731,0.1577812076702962,0.094703881156934,-0.1445096438949557,0.0852580859821545,-0.1230030938715765,smaller_benefit,False,False,False,False,False,True,False
bag8,target_enc_oof_absolute,True,0.324707056872714,0.1943482116772825,0.087903187020473,0.0750045941800194,0.3652765465076862,0.0405694896349722,larger_benefit,False,False,False,False,True,True,False
bag8,target_enc_oof_diff,True,0.324707056872714,0.1943482116772825,0.087903187020473,0.1860494307614997,0.3271345523301746,0.002427495457460571,larger_benefit,False,False,False,False,True,True,False
bag8,target_enc_oof_inv_ratio,True,0.324707056872714,0.1943482116772825,0.087903187020473,0.1860494307614997,0.3419222683458109,0.017215211473096903,larger_benefit,False,False,False,False,True,True,False
bag8,target_enc_oof_ratio,True,0.324707056872714,0.1943482116772825,0.087903187020473,0.0944986566926421,0.2187134803504909,-0.1059935765222231,smaller_benefit,False,False,False,False,True,True,False
bag8,target_enc_oof_ratio_cap5,True,0.324707056872714,0.1943482116772825,0.087903187020473,0.0944986566926421,0.2187134803504909,-0.1059935765222231,smaller_benefit,False,False,False,False,True,True,False
bag8,target_enc_ratio,True,0.208261179853731,0.1577812076702962,0.094703881156934,-0.1445096438949557,0.0852580859821545,-0.1230030938715765,smaller_benefit,False,False,False,False,False,True,False
bag8,target_enc_ratio__sel_combined_intersection,True,0.1282282122729547,0.1117610102427521,-0.0267290564113138,-0.1350003451082433,-0.0063126414262997,-0.1345408536992544,smaller_benefit,False,False,False,False,False,True,False
bag8,target_enc_ratio__sel_combined_union,True,0.171421908945008,0.1117610102427521,-0.0267290564113138,-0.1350003451082433,-0.0063126414262997,-0.1777345503713077,smaller_benefit,False,False,False,False,False,True,False
bag8,target_enc_ratio_cap5,True,0.208261179853731,0.1577812076702962,0.094703881156934,-0.1445096438949557,0.0852580859821545,-0.1230030938715765,smaller_benefit,False,False,False,False,False,True,False
bag8,targeted_groupby_top3,True,0.0458666551221577,-0.0974631569724544,-0.0644179091583097,-0.3771546387112341,-0.1667402309794435,-0.2126068861016012,smaller_benefit,False,False,False,False,False,True,False
bag8,targeted_groupby_top3_shifted_agg,True,0.0458666551221577,-0.0974631569724544,-0.0644179091583097,-0.3771546387112341,-0.1667402309794435,-0.2126068861016012,smaller_benefit,False,False,False,False,False,True,False
bag8,targeted_groupby_top5,True,0.0131516115152636,0.0222121547386904,-0.0249787006595578,-0.323783699270981,-0.300095820740295,-0.3132474322555586,smaller_benefit,False,False,False,False,False,True,False
bag8,targeted_groupby_top5_shifted_agg,True,0.0131516115152636,0.0222121547386904,-0.0249787006595578,-0.323783699270981,-0.300095820740295,-0.3132474322555586,smaller_benefit,False,False,False,False,False,True,False
bag8,tdda_k10_lam07_aug1,True,-16.740509193665126,-16.76045493880094,-15.101531472962089,-19.333822903732564,-16.274347230043706,0.4661619636214205,larger_benefit,False,False,False,False,False,False,True
bag8,tdda_k5_lam06_aug1,True,-15.021099973237591,-14.116467576930718,-13.107121531134135,-13.038992007989092,-9.267232076402472,5.75386789683512,larger_benefit,True,False,True,False,False,False,True
bag8,tdda_k5_lam07_aug1,True,-16.740509193665126,-16.76045493880094,-15.101531472962089,-19.333822903732564,-16.274347230043706,0.4661619636214205,larger_benefit,False,False,False,False,False,False,True
bag8,tdda_k5_lam07_aug1_cumshift,True,-16.552246006632853,-16.644753062394944,-16.79100214370406,-19.37134501186164,-18.136376841571785,-1.5841308349389323,smaller_benefit,False,False,False,False,False,False,True
bag8,tdda_k5_lam07_aug2,True,-18.99599416999877,-19.119771716370945,-18.870312368648047,-20.89121623693748,-20.2709894703644,-1.274995300365628,smaller_benefit,False,False,False,False,False,False,True
bag8,tdda_k5_lam08_aug1,True,-18.179208581278864,-18.3752655606403,-18.0637998248199,-20.50788847843057,-19.31640830164749,-1.1371997203686242,smaller_benefit,False,False,False,False,False,False,True
bag8,tdda_v2_k10_lam07_pfl_dw,True,-19.079241247126905,-19.2875842197296,-18.774283676945025,-22.33167689272884,-20.38216348610173,-1.3029222389748263,smaller_benefit,False,False,False,False,False,False,True
bag8,tdda_v2_k5_lam06_pfl_dw,True,-18.71898220301624,-19.901919657789463,-18.269811879311217,-22.155326946729776,-20.32742897592237,-1.608446772906131,smaller_benefit,False,False,False,False,False,False,True
bag8,tdda_v2_k5_lam07_nopfl_dw,True,-16.94918853573033,-15.207769955031788,-14.455626113091778,-15.582975090312615,-6.990730563905223,9.958457971825105,larger_benefit,False,False,False,False,False,False,True
