model,dataset,source_id,dataset_family,task_type,n_folds,has_repeated_folds,near_perfect_base,available_test_time_configurations,finite_relative_test_time_configurations,available_train_only_configurations,median_effect_pct,q1_effect_pct,q3_effect_pct,positive_configurations,zero_configurations,negative_configurations,positive_configuration_share,zero_configuration_share,negative_configuration_share,families_with_finite_results,family_balanced_mean_of_family_medians_pct,family_balanced_median_of_family_medians_pct,family_balanced_q1_pct,family_balanced_q3_pct,positive_families,zero_families,negative_families,best_exact_configuration,best_exact_family,best_exact_effect_pct,best_is_selected_after_labels
bag8,tabred_sberbank__gap_far,source::tabred_sberbank,TabReD_gap,regression,1,False,False,124,124,10,-0.3767910984478637,-9.072771494787318,0.9433820228389656,47,6,71,0.3790322580645161,0.04838709677419355,0.5725806451612904,16,-4.03012800195408,-0.34660862642664747,-3.0064136449020493,0.7418044434083358,6,0,10,label_prop_k15_a05,M8_label_propagation,6.154774575608332,True
bag8,tabred_sberbank__gap_near,source::tabred_sberbank,TabReD_gap,regression,1,False,False,124,124,10,-0.3450359911481292,-11.173661995004789,0.1982027937275035,43,6,75,0.3467741935483871,0.04838709677419355,0.6048387096774194,16,-3.5356321081259874,-0.23053601525433964,-4.740186687090743,0.12831614717525364,5,1,10,adversarial_lgbm_both_ratio,M6_adversarial_validation,2.294468267929372,True
bag8,tabred_weather,source::tabred_weather,TabReD,regression,1,False,False,117,117,10,-0.0905921299376218,-0.4158499472319311,0.0,24,17,76,0.20512820512820512,0.1452991452991453,0.6495726495726496,15,-0.6042242969302287,-0.09416738883785081,-0.3308505708998509,0.0,2,3,10,neighbor_consensus_k20_dist,M19_neighborhood_consensus,0.185056073227925,True
bag8,tabred_weather__gap_far,source::tabred_weather,TabReD_gap,regression,1,False,False,124,124,10,-0.06728178129787345,-0.7464738482096563,0.0008353530793474,35,22,67,0.28225806451612906,0.1774193548387097,0.5403225806451613,16,-1.4125144306258566,-0.11173178838498446,-0.6421643589388084,0.04962773150350306,4,3,9,nearest_test_rel_k5_both,M16_nearest_test_distance,1.0384452558841109,True
bag8,tabred_weather__gap_maxdiff,source::tabred_weather,TabReD_gap,regression,1,False,False,125,125,10,-0.0187598163425263,-1.4023077160314597,0.0001814682309234,40,22,63,0.32,0.176,0.504,16,-2.6023654943211776,-0.29685057891729416,-1.3686702600078235,2.5924022910425e-05,4,3,9,nearest_test_rel_k5_both,M16_nearest_test_distance,2.222698718273909,True
bag8,tabred_weather__gap_near,source::tabred_weather,TabReD_gap,regression,1,False,False,125,125,10,-0.2607156747063004,-0.7005464991435287,0.0,18,26,81,0.144,0.208,0.648,16,-0.931827128905127,-0.16329203534002867,-0.45060540100298907,0.0,3,4,9,joint_tsne_2d_p50,M3b_joint_tsne,0.5386918015221621,True
bag8,taiwanese_bankruptcy_prediction,source::taiwanese_bankruptcy_prediction,TabArena_IID,classification,3,True,False,134,134,10,-0.5431292107175735,-3.2599665877731043,0.0,28,28,78,0.208955223880597,0.208955223880597,0.582089552238806,17,-1.5585862481033856,-0.37880721194924544,-3.3800285854980583,0.0,2,4,11,tdda_k10_lam07_aug1,M17_test_directed_augmentation,4.884183048931149,True
bag8,tschalzev_mbgm,source::tschalzev_mbgm,tschalzev_IID,regression,1,False,False,125,125,10,-0.1409931741207113,-0.7800905598636756,0.0661459638452239,39,4,82,0.312,0.032,0.656,16,-1.4824099465659657,-0.1064225032211932,-0.6602164988293119,0.0,3,2,11,ot_disp_v2_selective,M9_optimal_transport,0.4214952986784188,True
bag8,tschalzev_ogpcc,source::tschalzev_ogpcc,tschalzev_IID,classification,1,False,False,133,133,10,-0.1115097506255688,-2.255829584878448,0.1468144550155593,40,11,82,0.3007518796992481,0.08270676691729323,0.6165413533834586,17,-1.620611215628721,-0.1128224992349152,-2.2708367455609086,0.0,4,2,11,tdda_k5_lam06_aug1,M17_test_directed_augmentation,5.953590793524521,True
bag8,tschalzev_sctp,source::tschalzev_sctp,tschalzev_IID,classification,1,False,False,130,130,10,-0.4000868650861006,-2.5535990337624757,0.0,9,40,81,0.06923076923076923,0.3076923076923077,0.6230769230769231,17,-2.2873935793197404,-0.6219279681503266,-1.8113370053553897,0.0,0,5,12,ot_disp_v2_selective_and_summary_top10,M9_optimal_transport,0.1846984842219777,True
