model,dataset,n_folds,configurations,all_positive_configurations,all_negative_configurations,all_zero_configurations,mixed_configurations,positive_dataset_average_configurations,negative_dataset_average_configurations,exact_configuration_median_by_fold_pct,family_balanced_median_by_fold_pct,family_balanced_positive_folds,family_balanced_zero_folds,family_balanced_negative_folds
tabicl,splice,0,125,0,0,0,125,0,0,0:nan;1:nan;2:nan,0:nan;1:nan;2:nan,0,0,0
tabicl,students_dropout_and_academic_success,3,125,7,40,0,78,48,77,0:0.848617666;1:0.000000000;2:-3.029427363,0:0.850176888;1:0.000000000;2:-2.335394726,1,1,1
tabicl,superconductivity,3,114,14,54,7,39,33,74,0:-0.795694841;1:-0.104050570;2:-0.342322951,0:-0.507782684;1:-0.000031657;2:-0.107608054,0,0,3
tabicl,taiwanese_bankruptcy_prediction,3,125,14,20,11,80,70,44,0:-0.797595654;1:0.000000000;2:0.000000000,0:-0.797595654;1:0.196341841;2:0.000000000,1,1,1
tabicl,website_phishing,0,125,0,0,0,125,0,0,0:nan;1:nan;2:nan,0:nan;1:nan;2:nan,0,0,0
tabicl,wine_quality,3,125,8,62,0,55,19,106,0:-4.217657819;1:-2.703375715;2:-2.464764409,0:-3.335295136;1:-0.475837741;2:-0.282358380,0,0,3
tabpfn,Another-Dataset-on-used-Fiat-500,3,116,19,40,0,57,43,73,0:-0.611214828;1:-0.276695777;2:0.131738950,0:-0.468222629;1:-0.240572384;2:0.148640770,1,0,2
tabpfn,Bank_Customer_Churn,3,113,3,38,0,72,17,96,0:-1.600302106;1:-0.229054226;2:-0.142515549,0:-1.266877568;1:-0.166304340;2:0.153894928,1,0,2
tabpfn,E-CommereShippingData,3,113,5,18,0,90,50,63,0:-0.239251369;1:-0.107583681;2:0.154658061,0:-0.239551032;1:-0.017063329;2:0.010648085,1,0,2
tabpfn,Fitness_Club,3,125,0,50,3,72,10,112,0:-0.925323863;1:-0.032073555;2:-0.451505972,0:-0.715250338;1:0.000000000;2:-0.262902212,0,1,2
tabpfn,Is-this-a-good-customer,3,125,21,16,0,88,68,57,0:-0.690154172;1:-0.315048184;2:2.012979870,0:-0.183670062;1:-0.154435384;2:1.319986800,1,0,2
tabpfn,MIC,3,115,0,37,0,78,22,93,0:-4.784527779;1:4.227257517;2:-11.988898009,0:-4.028979915;1:5.916801554;2:-10.776902482,1,0,2
tabpfn,Marketing_Campaign,3,124,1,56,0,67,24,100,0:-3.862770013;1:-0.472114666;2:-2.954196404,0:-3.189326557;1:-0.536648326;2:-2.809648568,0,0,3
tabpfn,NATICUSdroid,0,124,0,0,0,124,0,0,0:nan;1:nan;2:nan,0:nan;1:nan;2:nan,0,0,0
tabpfn,QSAR_fish_toxicity,3,116,1,41,17,57,9,90,0:-0.254763787;1:-0.569459166;2:-0.374560022,0:-0.193080527;1:-0.434139284;2:-0.130953742,0,0,3
tabpfn,airfoil_self_noise,3,116,51,47,0,18,60,56,0:2.814806870;1:-0.040282578;2:0.000000000,0:4.888092916;1:0.584622115;2:1.187949792,3,0,0
tabpfn,anneal,0,123,0,0,0,123,0,0,0:nan;1:nan;2:nan,0:nan;1:nan;2:nan,0,0,0
tabpfn,blood-transfusion-service-center,3,125,9,30,27,59,32,66,0:-0.132582035;1:-0.477637864;2:0.000000000,0:-0.074577395;1:-0.162831090;2:0.000000000,0,1,2
tabpfn,churn,3,125,18,18,0,89,67,58,0:-0.126510059;1:0.242154361;2:0.194884287,0:0.248058939;1:0.242154361;2:-0.786180932,2,0,1
tabpfn,coil2000_insurance_policies,3,110,3,33,0,74,16,94,0:-0.643649337;1:0.332837244;2:-1.737089869,0:-0.554864459;1:0.317268483;2:-1.570232677,1,0,2
tabpfn,concrete_compressive_strength,3,116,8,52,16,40,28,72,0:-1.519083445;1:0.000000000;2:-3.098364660,0:-1.256053442;1:0.000000000;2:-2.806360655,0,1,2
tabpfn,credit-g,3,124,15,34,0,75,38,86,0:-1.197142305;1:-1.021982260;2:-0.053366539,0:-1.235759799;1:-0.867720787;2:-0.013341635,0,0,3
tabpfn,diabetes,3,125,1,67,18,39,11,96,0:-0.790513834;1:-2.067183463;2:-0.723000452,0:-1.185770751;1:-1.442721792;2:-0.835969272,0,0,3
tabpfn,hazelnut-spread-contaminant-detection,0,125,0,0,0,125,0,0,0:nan;1:nan;2:nan,0:nan;1:nan;2:nan,0,0,0
tabpfn,healthcare_insurance_expenses,3,116,69,6,0,41,96,20,0:4.273481943;1:5.104281298;2:2.988068617,0:2.612676359;1:2.648373046;2:4.131685833,3,0,0
tabpfn,heloc,3,112,4,33,18,57,27,67,0:-0.005641805;1:0.000000000;2:-0.101998200,0:-0.044595151;1:-0.075967303;2:-0.096318012,0,0,3
tabpfn,jm1,3,111,33,14,17,47,47,47,0:0.000000000;1:0.206342888;2:0.000000000,0:0.000000000;1:0.176467155;2:0.044622824,2,1,0
tabpfn,maternal_health_risk,3,125,22,47,25,31,36,64,0:0.000000000;1:-1.399192963;2:-1.890463178,0:0.000000000;1:-0.832350767;2:-3.727016482,0,1,2
tabpfn,online_shoppers_intention,3,104,36,6,0,62,87,17,0:2.026326542;1:0.019073910;2:1.077657754,0:1.884387635;1:0.174439574;2:1.040811636,3,0,0
tabpfn,polish_companies_bankruptcy,3,124,9,31,28,56,31,65,0:0.000000000;1:-5.251982604;2:-0.394889079,0:0.269450994;1:-2.340752111;2:-0.789778158,1,0,2
tabpfn,qsar-biodeg,3,123,19,31,0,73,56,67,0:-0.204185809;1:-0.656580074;2:-0.715051841,0:0.242470648;1:-0.485298316;2:0.250268144,2,0,1
tabpfn,seismic-bumps,3,125,13,23,0,89,41,84,0:-0.235101707;1:-0.876629337;2:0.510482232,0:-0.183992640;1:-0.408481733;2:0.854933836,1,0,2
tabpfn,splice,0,125,0,0,0,125,0,0,0:nan;1:nan;2:nan,0:nan;1:nan;2:nan,0,0,0
tabpfn,students_dropout_and_academic_success,3,123,2,66,0,55,25,98,0:-0.942722908;1:-0.761809273;2:-0.754369386,0:-1.139483892;1:-0.525406075;2:-0.656781592,0,0,3
tabpfn,taiwanese_bankruptcy_prediction,3,123,0,32,17,74,9,97,0:-1.297100284;1:0.000000000;2:-2.392739274,0:-1.297100284;1:-0.347152345;2:-2.799779978,0,0,3
tabpfn,website_phishing,0,125,0,0,0,125,0,0,0:nan;1:nan;2:nan,0:nan;1:nan;2:nan,0,0,0
tabpfn,wine_quality,3,124,3,42,1,78,28,95,0:-2.385328949;1:-7.121254336;2:0.836440159,0:-2.329660009;1:-6.556043215;2:0.683142390,1,0,2
